major,smartphone age,number countries,Avatar: Fire and Ash,Avengers: Endgame,Barbie,Dune,Frozen,Get Out,Interstellar,KPop Demon Hunters,My Neighbor Totoro,Spider-Man: Across the Spiderverse,Star Wars: The Rise of Skywalker,Superman (2025),Titanic,Wicked
CE,11,23,4,4,3,5,4,,4,,5,5,5,4,3,
EE,11,5,,4,3,,3,,,,,5,,4,5,
EE,13,6,,4,3,,5,,5,,,3,2,,4,4
ME,9,13,,5,4,5,3,,5,5,5,5,,5,4,
EE,12,2,,4,,5,3,5,5,,4,5,1,5,,
ME,14,5,,4,4,,,,,,,,,,,
ME,10,6,5,4,4,5,3,4,5,,,4,4,5,3,2
CE,14,2,,3,5,,3,,,,5,,,2,,3
CE,11,3,,,,,3,,,,,,,,3,
ME,13,3,,5,4,4,,,5,4,,5,1,5,4,3
ME,13,1,5,,4,,3,,,4,,5,,,,
BME,11,4,,4,2,3,,,,,,4,,1,,
CE,10,10,,,,4,,,4,,,,,,,
ME,12,2,,4,4,,3,,5,3,,,,4,4,5
ME,12,2,,5,4,2,4,,5,4,,5,,,3,
ME,12,3,5,5,,5,3,,5,,,5,,,5,
BME,10,10,,4,,,,,,,,,5,,,
ME,13,2,,5,3,,3,,5,,,5,,5,3,
BME,13,4,2,,3,3,4,,5,,5,,,,4,4
BME,12,5,,4,,,3,4,4,3,4,4,3,4,4,
BME,13,4,5,5,5,,4,5,5,5,3,5,,5,3,4
EE,14,31,,5,,,,5,4,4,5,4,2,5,4,
ME,12,16,,2,,4,3,,5,,,4,3,,3,
EE,13,2,,,3,,3,4,,,,5,,,2,
ME,15,14,,3,4,,3,,4,,5,4,,3,3,4
ME,13,2,,5,,,4,,,,5,5,5,5,,
BME,7,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3
EE,10,20,,,3,,,,,,,,,,,
BME,14,11,,5,,,4,3,4,,,,5,5,5,
BME,13,9,,5,4,,4,,5,,,5,,4,4,4
ME,14,2,,4,4,5,4,,4,4,5,5,,,,
ME,12,3,,,4,3,5,,5,4,,4,,5,4,
ME,13,11,,4,3,,5,,,4,,5,4,,,5
BME,14,14,,4,,4,4,,4,,5,5,,,4,
CE,11,2,,5,3,,5,,4,,,5,2,4,4,
BME,15,2,,4,3,,3,,5,4,,5,3,3,,
CE,10,4,,4,,,4,3,5,,4,5,,,,
EE,12,3,,4,4,4,3,,5,,,4,4,3,4,
ME,14,9,,5,,4,5,,4,3,5,,,,,3
CE,13,5,5,5,3,4,3,3,,,,,3,,,
BME,10,11,,5,,4,5,,5,,3,4,3,4,4,
Undecided,12,1,,,5,,5,,,,,,,,,
EE,9,5,,5,4,,4,3,5,4,,5,,5,4,
ME,12,6,,3,,,,,,,,,,,,
EE,9,12,4,4,,,4,,,,,3,,,4,
ME,12,2,5,5,,5,3,,5,,,5,1,4,4,
ME,11,6,,4,,,3,,5,,4,,,,,
ME,12,7,4,3,4,4,4,5,5,,,5,2,4,3,
CE,9,3,,,,,3,,4,,5,,,,,
CE,13,12,,,3,5,3,,5,,,4,5,,4,
ME,16,3,5,4,4,5,5,4,3,5,5,4,,5,3,5
ME,11,6,,5,4,,3,,5,5,,5,,,3,
CE,11,2,,4,,,4,,5,,4,,,,5,
ME,13,4,,3,3,2,5,4,5,4,5,3,5,,,
ME,12,1,,4,,5,3,4,5,,5,,1,,,
