Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Which of the following best describes your opinion of AI?,Which best describes how you use AI for homework? (Remember this survey is anonymous.),At what age did you get your first smartphone?,"How many countries have you visited? Please write your answer as an integer (e.g., if you've never left the United States, write 1, if you've also been to Canada, write 2, etc.).  ",Rate the following movies. [Loved it! ],Rate the following movies. [Liked it.],Rate the following movies. [Just OK.],Rate the following movies. [Didn't like it.],Rate the following movies. [Hated it!],Rate the following movies. [Never seen it.]
1/19/2026 15:39:36,ME,Pen-and-paper math,I dislike it and I avoid it if I can.,I only use AI to check my answers.,12,9,"Avengers: Endgame, Dune, Frozen, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Wicked",Barbie,Star Wars: The Rise of Skywalker,,,"Avatar: Fire and Ash, Get Out, Interstellar, KPop Demon Hunters, Superman (2025)"
1/19/2026 15:49:21,CE,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,3,"Avengers: Endgame, Spider-Man: Across the Spiderverse","Barbie, Interstellar, KPop Demon Hunters",Frozen,,,"Avatar: Fire and Ash, Dune, Get Out, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/19/2026 15:53:49,CE,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,10,12,"Avengers: Endgame, Interstellar, Spider-Man: Across the Spiderverse","Barbie, Dune, Frozen, KPop Demon Hunters, Superman (2025), Titanic, Wicked",Star Wars: The Rise of Skywalker,,Avatar: Fire and Ash,"Get Out, My Neighbor Totoro"
1/19/2026 15:59:33,CE,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,7,"Interstellar, Spider-Man: Across the Spiderverse","Avengers: Endgame, Barbie, Frozen",,,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/19/2026 16:31:00,ME,Pen-and-paper math,I dislike it and I avoid it if I can.,I don't use AI at all.,11,4,"My Neighbor Totoro, Spider-Man: Across the Spiderverse","Barbie, KPop Demon Hunters, Superman (2025)","Avengers: Endgame, Frozen, Star Wars: The Rise of Skywalker, Titanic",,,"Avatar: Fire and Ash, Dune, Get Out, Interstellar, Wicked"
1/19/2026 16:35:03,ME,Pen-and-paper math,I dislike it and I avoid it if I can.,I don't use AI at all.,15,28,Avengers: Endgame,,,,,"Avatar: Fire and Ash, Barbie, Dune"
1/19/2026 16:46:46,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,10,12,Interstellar,"Dune, Frozen, Star Wars: The Rise of Skywalker, Titanic",,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Wicked"
1/19/2026 17:07:21,Undecided,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,14,3,"Interstellar, Titanic","Avengers: Endgame, Frozen, My Neighbor Totoro, Spider-Man: Across the Spiderverse",Barbie,"Dune, Star Wars: The Rise of Skywalker",,"Avatar: Fire and Ash, Get Out, KPop Demon Hunters, Superman (2025), Wicked"
1/19/2026 17:14:07,CE,Programming algorithms,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,12,2,,Avengers: Endgame,Star Wars: The Rise of Skywalker,,,"Avatar: Fire and Ash, Barbie, Dune, Frozen, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Titanic, Wicked"
1/19/2026 17:19:19,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,3,"Avengers: Endgame, Frozen, Get Out, Spider-Man: Across the Spiderverse, Superman (2025)",,"Barbie, Star Wars: The Rise of Skywalker",,,"Avatar: Fire and Ash, Dune, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Titanic, Wicked"
1/19/2026 17:20:39,EE,Pen-and-paper math,I dislike it and I avoid it if I can.,I use AI to explain concepts and check my answers.,10,6,Dune,,Avengers: Endgame,,,"Avatar: Fire and Ash, Barbie"
1/19/2026 17:23:38,CE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,3,"Dune, Interstellar","Avengers: Endgame, Get Out, Spider-Man: Across the Spiderverse","Frozen, Star Wars: The Rise of Skywalker",,,"Avatar: Fire and Ash, Barbie, KPop Demon Hunters, My Neighbor Totoro, Superman (2025), Titanic, Wicked"
1/19/2026 17:26:46,BME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,10,"Barbie, Dune, Frozen, Get Out, Interstellar, Titanic","Star Wars: The Rise of Skywalker, Wicked",,,,"Avatar: Fire and Ash, Avengers: Endgame, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025)"
1/19/2026 17:27:56,EE,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,10,6,Dune,"Avengers: Endgame, Barbie",,,,"Avatar: Fire and Ash, Frozen, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/19/2026 17:55:57,CE,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,23,"Dune, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker","Avatar: Fire and Ash, Avengers: Endgame, Frozen, Interstellar, Superman (2025)","Barbie, Titanic",,,"Get Out, KPop Demon Hunters, Wicked"
1/19/2026 17:57:17,EE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,5,"Spider-Man: Across the Spiderverse, Titanic","Avengers: Endgame, Superman (2025)","Barbie, Frozen",,,"Avatar: Fire and Ash, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Wicked"
1/19/2026 17:57:58,EE,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,13,6,"Frozen, Interstellar","Avengers: Endgame, Titanic, Wicked","Barbie, Spider-Man: Across the Spiderverse",Star Wars: The Rise of Skywalker,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Superman (2025)"
1/19/2026 18:01:32,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,9,13,"Avengers: Endgame, Dune, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025)","Barbie, Titanic",Frozen,,,"Avatar: Fire and Ash, Get Out, Star Wars: The Rise of Skywalker, Wicked"
1/19/2026 18:01:42,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,2,"Dune, Get Out, Interstellar, Spider-Man: Across the Spiderverse, Superman (2025)","Avengers: Endgame, My Neighbor Totoro",Frozen,,Star Wars: The Rise of Skywalker,"Avatar: Fire and Ash, Barbie, KPop Demon Hunters, Titanic, Wicked"
1/19/2026 18:06:00,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,5,,"Avengers: Endgame, Barbie",,,,"Avatar: Fire and Ash, Dune"
1/19/2026 18:11:16,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,10,6,"Avatar: Fire and Ash, Dune, Interstellar, Superman (2025)","Avengers: Endgame, Barbie, Get Out, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker","Frozen, Titanic",Wicked,,"KPop Demon Hunters, My Neighbor Totoro"
1/19/2026 18:30:21,CE,Programming algorithms,I dislike it and I avoid it if I can.,I don't use AI at all.,14,2,"Barbie, My Neighbor Totoro",,"Avengers: Endgame, Frozen, Wicked",Superman (2025),,"Avatar: Fire and Ash, Dune, Get Out, Interstellar, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Titanic"
1/19/2026 18:32:39,CE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I don't use AI at all.,11,3,,,"Frozen, Titanic",,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/19/2026 18:34:44,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,3,"Avengers: Endgame, Interstellar, Spider-Man: Across the Spiderverse, Superman (2025)","Barbie, Dune, KPop Demon Hunters, Titanic",Wicked,,Star Wars: The Rise of Skywalker,"Avatar: Fire and Ash, Frozen, Get Out, My Neighbor Totoro"
1/19/2026 18:35:04,ME,Writing reports and making presentations,I like it and I use it wherever possible.,I only use AI to check my answers.,13,1,"Avatar: Fire and Ash, Spider-Man: Across the Spiderverse","Barbie, KPop Demon Hunters",Frozen,,,"Avengers: Endgame, Dune, Get Out, Interstellar, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/19/2026 19:01:12,BME,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,4,,"Avengers: Endgame, Spider-Man: Across the Spiderverse",Dune,Barbie,Superman (2025),"Avatar: Fire and Ash, Frozen, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Titanic, Wicked"
1/19/2026 19:16:40,CE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,10,10,,"Dune, Interstellar",,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Frozen, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/19/2026 19:30:10,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,12,2,"Interstellar, Wicked","Avengers: Endgame, Barbie, Superman (2025), Titanic","Frozen, KPop Demon Hunters",,,"Avatar: Fire and Ash, Dune, Get Out, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker"
1/19/2026 19:35:41,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,2,"Avengers: Endgame, Interstellar, Spider-Man: Across the Spiderverse","Barbie, Frozen, KPop Demon Hunters",Titanic,Dune,,"Avatar: Fire and Ash, Get Out, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/19/2026 19:45:25,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,12,3,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Interstellar, Spider-Man: Across the Spiderverse, Titanic",,Frozen,,,"Barbie, Get Out, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/19/2026 20:05:11,BME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,10,10,Star Wars: The Rise of Skywalker,Avengers: Endgame,,,,"Avatar: Fire and Ash, Barbie, Dune, Frozen, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Titanic, Wicked"
1/19/2026 20:07:00,ME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I only use AI to check my answers.,13,2,"Avengers: Endgame, Interstellar, Spider-Man: Across the Spiderverse, Superman (2025)",,"Barbie, Frozen, Titanic",,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Wicked"
1/19/2026 21:13:27,BME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,4,"Interstellar, My Neighbor Totoro","Frozen, Titanic, Wicked","Barbie, Dune",Avatar: Fire and Ash,,"Avengers: Endgame, Get Out, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025)"
1/19/2026 21:19:20,BME,"Collecting data (in a ""wet lab"" or other setting)",I dislike it and I avoid it if I can.,I use AI to explain concepts and check my answers.,12,5,,"Avengers: Endgame, Get Out, Interstellar, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Titanic","Frozen, KPop Demon Hunters, Star Wars: The Rise of Skywalker",,,"Avatar: Fire and Ash, Barbie, Dune, Wicked"
1/19/2026 21:22:24,BME,Programming algorithms,"Neutral, and I use it when it helps me.",I don't use AI at all.,13,4,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Get Out, Interstellar, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Superman (2025)","Frozen, Wicked","My Neighbor Totoro, Titanic",,,"Dune, Star Wars: The Rise of Skywalker"
1/19/2026 21:23:13,EE,Pen-and-paper math,I dislike it and I avoid it if I can.,I use AI to explain concepts and check my answers.,14,31,"Avengers: Endgame, Get Out, My Neighbor Totoro, Superman (2025)","Interstellar, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Titanic",,Star Wars: The Rise of Skywalker,,"Avatar: Fire and Ash, Barbie, Dune, Frozen, Wicked"
1/19/2026 21:31:58,ME,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to understand a concept more deeply after I miss a question.,12,16,Interstellar,"Dune, Spider-Man: Across the Spiderverse","Frozen, Star Wars: The Rise of Skywalker, Titanic",Avengers: Endgame,,"Avatar: Fire and Ash, Barbie, Get Out, KPop Demon Hunters, My Neighbor Totoro, Superman (2025), Wicked"
1/19/2026 21:35:41,EE,Programming algorithms,"Neutral, and I use it when it helps me.",I don't use AI at all.,13,2,Spider-Man: Across the Spiderverse,Get Out,"Barbie, Frozen",Titanic,,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/19/2026 21:43:09,ME,Pen-and-paper math,I dislike it and I avoid it if I can.,I only use AI to check my answers.,15,14,My Neighbor Totoro,"Barbie, Interstellar, Spider-Man: Across the Spiderverse, Wicked","Avengers: Endgame, Frozen, Superman (2025), Titanic",,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, Star Wars: The Rise of Skywalker"
1/19/2026 21:45:52,ME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,2,"Avengers: Endgame, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025)",Frozen,,,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, Interstellar, KPop Demon Hunters, Titanic, Wicked"
1/19/2026 22:05:16,BME,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,7,9,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Frozen, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked",,,
1/19/2026 22:05:16,EE,Programming algorithms,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,10,20,,,Barbie,,,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Frozen, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/19/2026 22:39:06,BME,"Collecting data (in a ""wet lab"" or other setting)",I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,14,11,"Avengers: Endgame, Star Wars: The Rise of Skywalker, Superman (2025), Titanic","Frozen, Interstellar",Get Out,,,"Avatar: Fire and Ash, Barbie, Dune, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Wicked"
1/19/2026 22:44:26,BME,Pen-and-paper math,I dislike it and use it when it helps me,I only use AI to check my answers.,13,9,"Avengers: Endgame, Interstellar, Spider-Man: Across the Spiderverse","Barbie, Frozen, Superman (2025), Titanic, Wicked",,,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker"
1/19/2026 22:51:51,ME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I don't use AI at all.,14,2,"Dune, My Neighbor Totoro, Spider-Man: Across the Spiderverse","Avengers: Endgame, Barbie, Frozen, Interstellar, KPop Demon Hunters",,,,"Avatar: Fire and Ash, Get Out, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/19/2026 23:38:14,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,12,3,"Frozen, Interstellar, Superman (2025)","Barbie, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Titanic",Dune,,,"Avatar: Fire and Ash, Avengers: Endgame, Get Out, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Wicked"
1/19/2026 23:53:28,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,11,"Frozen, Spider-Man: Across the Spiderverse, Wicked","Avengers: Endgame, KPop Demon Hunters, Star Wars: The Rise of Skywalker",Barbie,,,"Avatar: Fire and Ash, Dune, Get Out, Interstellar, My Neighbor Totoro, Superman (2025), Titanic"
1/20/2026 0:07:56,BME,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,14,"My Neighbor Totoro, Spider-Man: Across the Spiderverse","Avengers: Endgame, Dune, Frozen, Interstellar, Titanic",,,,"Avatar: Fire and Ash, Barbie, Get Out, KPop Demon Hunters, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/20/2026 0:18:05,CE,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,2,"Avengers: Endgame, Frozen, Spider-Man: Across the Spiderverse","Interstellar, Superman (2025), Titanic",Barbie,Star Wars: The Rise of Skywalker,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Wicked"
1/20/2026 1:05:44,BME,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,15,2,"Interstellar, Spider-Man: Across the Spiderverse","Avengers: Endgame, KPop Demon Hunters","Barbie, Frozen, Star Wars: The Rise of Skywalker, Superman (2025)",,,"Avatar: Fire and Ash, Dune, Get Out, My Neighbor Totoro, Titanic, Wicked"
1/20/2026 1:59:57,CE,"Collecting data (in a ""wet lab"" or other setting)",I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,10,4,"Interstellar, Spider-Man: Across the Spiderverse","Avengers: Endgame, Frozen, My Neighbor Totoro",Get Out,,,"Avatar: Fire and Ash, Barbie, Dune, KPop Demon Hunters, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/20/2026 3:51:25,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,3,Interstellar,"Avengers: Endgame, Barbie, Dune, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Titanic","Frozen, Superman (2025)",,,"Avatar: Fire and Ash, Get Out, KPop Demon Hunters, My Neighbor Totoro, Wicked"
1/20/2026 5:45:49,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,9,"Avengers: Endgame, Frozen, My Neighbor Totoro","Dune, Interstellar","KPop Demon Hunters, Wicked",,,"Avatar: Fire and Ash, Barbie, Get Out, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic"
1/20/2026 6:21:54,CE,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,5,"Avatar: Fire and Ash, Avengers: Endgame",Dune,"Barbie, Frozen, Get Out, Star Wars: The Rise of Skywalker",,,"Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Titanic, Wicked"
1/20/2026 7:51:55,BME,Pen-and-paper math,I like it and I use it wherever possible.,I only use AI to check my answers.,10,11,"Avengers: Endgame, Frozen, Interstellar","Dune, Spider-Man: Across the Spiderverse, Superman (2025), Titanic","My Neighbor Totoro, Star Wars: The Rise of Skywalker",,,"Avatar: Fire and Ash, Barbie, Get Out, KPop Demon Hunters, Wicked"
1/20/2026 9:30:17,Undecided,Programming algorithms,OpenAI,I use AI to explain concepts and check my answers.,12,1,"Barbie, Frozen",,,,,"Avatar: Fire and Ash, Avengers: Endgame, Dune"
1/20/2026 9:54:27,EE,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,9,5,"Avengers: Endgame, Interstellar, Spider-Man: Across the Spiderverse, Superman (2025)","Barbie, Frozen, KPop Demon Hunters, Titanic",Get Out,,,"Avatar: Fire and Ash, Dune, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Wicked"
1/20/2026 10:22:04,ME,Pen-and-paper math,I dislike it and I avoid it if I can.,I only use AI to check my answers.,12,6,,,Avengers: Endgame,,,"Avatar: Fire and Ash, Barbie, Dune"
1/20/2026 10:57:01,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,9,12,,"Avatar: Fire and Ash, Avengers: Endgame, Frozen, Titanic",Spider-Man: Across the Spiderverse,,,"Barbie, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/20/2026 11:12:09,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,2,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Interstellar, Spider-Man: Across the Spiderverse","Superman (2025), Titanic",Frozen,,Star Wars: The Rise of Skywalker,"Barbie, Get Out, KPop Demon Hunters, My Neighbor Totoro, Wicked"
1/20/2026 11:33:27,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,11,6,Interstellar,"Avengers: Endgame, My Neighbor Totoro",Frozen,,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, KPop Demon Hunters"
1/20/2026 11:46:16,ME,Programming algorithms,"I appreciate its use in data analysis and as a computational tool, but I am opposed to what I personally view as frivolous uses of AI such as generative “art” (even apart from the ethics, the environmental impact I cannot ignore) and using platforms like chatGPT to do tasks one could easily accomplish oneself. Personally I feel such uses to be detrimental to the agency and independence of many people I personally know and it does not seem like a good trend to know many who cannot think critically and problem solve, instead living dependent on AI.",I don't use AI at all.,12,7,"Get Out, Interstellar, Spider-Man: Across the Spiderverse","Avatar: Fire and Ash, Barbie, Dune, Frozen, Superman (2025)","Avengers: Endgame, Titanic",Star Wars: The Rise of Skywalker,,"KPop Demon Hunters, My Neighbor Totoro, Wicked"
1/20/2026 13:47:26,CE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,9,3,My Neighbor Totoro,Interstellar,Frozen,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/20/2026 14:25:04,CE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,12,"Dune, Interstellar, Star Wars: The Rise of Skywalker","Spider-Man: Across the Spiderverse, Titanic","Barbie, Frozen",,,"Avatar: Fire and Ash, Avengers: Endgame, Get Out, KPop Demon Hunters, My Neighbor Totoro, Superman (2025), Wicked"
1/20/2026 15:43:39,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI as a tool in case I do not understand a concept.,16,3,"Avatar: Fire and Ash, Dune, Frozen, KPop Demon Hunters, My Neighbor Totoro, Superman (2025), Wicked","Avengers: Endgame, Barbie, Get Out, Spider-Man: Across the Spiderverse","Interstellar, Titanic",,,Star Wars: The Rise of Skywalker
1/20/2026 20:52:26,ME,Pen-and-paper math,"I dislike when people use it to outsource basic thinking, however, for specific applications it can be very useful",I use AI to explain concepts and check my answers.,11,6,"Avengers: Endgame, Interstellar, KPop Demon Hunters, Spider-Man: Across the Spiderverse",Barbie,"Frozen, Titanic",,,"Avatar: Fire and Ash, Dune, Get Out, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/21/2026 9:58:54,CE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,2,"Interstellar, Titanic","Avengers: Endgame, Frozen, My Neighbor Totoro",,,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/21/2026 17:51:16,ME,Pen-and-paper math,I dislike it and I avoid it if I can.,I don't use AI at all.,13,4,"Frozen, Interstellar, My Neighbor Totoro, Star Wars: The Rise of Skywalker","Get Out, KPop Demon Hunters","Avengers: Endgame, Barbie, Spider-Man: Across the Spiderverse",Dune,,"Avatar: Fire and Ash, Superman (2025), Titanic, Wicked"
1/22/2026 10:21:09,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,1,"Dune, Interstellar, My Neighbor Totoro","Avengers: Endgame, Get Out",Frozen,,Star Wars: The Rise of Skywalker,"Avatar: Fire and Ash, Barbie, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Superman (2025), Titanic, Wicked"
