Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Which of the following best describes your opinion of AI?,Which best describes how you use AI for homework? (Remember this survey is anonymous.),At what age did you get your first smartphone?,"How many countries have you visited? Please write your answer as an integer (e.g., if you've never left the United States, write 1, if you've also been to Canada, write 2, etc.).  ",Rate the following movies. [Loved it! ],Rate the following movies. [Liked it.],Rate the following movies. [Just OK.],Rate the following movies. [Didn't like it.],Rate the following movies. [Hated it!],Rate the following movies. [Never seen it.]
1/17/2026 7:03:30,CE,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,13,16,"Avengers: Endgame, Interstellar, Star Wars: The Rise of Skywalker","Spider-Man: Across the Spiderverse, Titanic",Frozen,,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Superman (2025), Wicked"
1/17/2026 8:22:13,EE,Programming algorithms,"Neutral, and I use it when it helps me.",I don't use AI at all.,14,6,,"Avengers: Endgame, Dune, Interstellar","Barbie, Frozen",,,"Avatar: Fire and Ash, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/17/2026 9:33:09,CE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,2,,Avengers: Endgame,Avatar: Fire and Ash,,,"Barbie, Dune"
1/17/2026 13:20:04,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,2,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Frozen, Interstellar, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker","Get Out, KPop Demon Hunters",,,,"Barbie, Superman (2025), Titanic, Wicked"
1/17/2026 14:36:59,BME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,15,3,,"Get Out, My Neighbor Totoro, Titanic",Barbie,"Frozen, Interstellar",,"Avatar: Fire and Ash, Avengers: Endgame, Dune, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/17/2026 17:21:49,ME,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,19,My Neighbor Totoro,"Avengers: Endgame, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Wicked",Frozen,,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, Interstellar, Star Wars: The Rise of Skywalker, Superman (2025), Titanic"
1/17/2026 17:29:09,EE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,1,My Neighbor Totoro,Barbie,Frozen,,Interstellar,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Get Out, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/17/2026 17:32:44,ME,"Collecting data (in a ""wet lab"" or other setting)",I dislike it and I avoid it if I can.,I use AI to explain concepts and check my answers.,13,7,"Frozen, KPop Demon Hunters",Avengers: Endgame,Spider-Man: Across the Spiderverse,"Avatar: Fire and Ash, Get Out",,"Barbie, Dune, Interstellar, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/17/2026 18:22:14,CE,Pen-and-paper math,I like it and I use it wherever possible.,"AI mostly does my homework for me, while I study for exams.",14,4,"Frozen, Interstellar, Titanic",Star Wars: The Rise of Skywalker,"Avengers: Endgame, Dune, KPop Demon Hunters, Spider-Man: Across the Spiderverse",,,"Avatar: Fire and Ash, Barbie, Get Out, My Neighbor Totoro, Superman (2025), Wicked"
1/17/2026 20:40:16,ME,Writing reports and making presentations,I dislike it and I avoid it if I can.,I don't use AI at all.,11,11,Titanic,"Avengers: Endgame, Barbie, Interstellar, Wicked",Frozen,,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025)"
1/18/2026 3:05:39,BME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,14,3,"My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025)",Barbie,Avengers: Endgame,,,"Avatar: Fire and Ash, Dune, Frozen, Get Out, Interstellar, KPop Demon Hunters, Star Wars: The Rise of Skywalker, Titanic, Wicked"
1/18/2026 5:20:18,ME,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,12,9,"Dune, Frozen, My Neighbor Totoro, Spider-Man: Across the Spiderverse","Barbie, Interstellar, Star Wars: The Rise of Skywalker, Titanic, Wicked",Avatar: Fire and Ash,Get Out,,"Avengers: Endgame, KPop Demon Hunters, Superman (2025)"
1/18/2026 5:52:04,ME,"Collecting data (in a ""wet lab"" or other setting)",I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,13,25,"Get Out, Interstellar","Avengers: Endgame, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Titanic","Dune, Frozen",,,"Avatar: Fire and Ash, Barbie, KPop Demon Hunters, My Neighbor Totoro, Superman (2025), Wicked"
1/18/2026 8:12:23,EE,Writing reports and making presentations,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,6,Avengers: Endgame,"Frozen, Interstellar","Avatar: Fire and Ash, Dune, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Titanic",,,"Barbie, Get Out, KPop Demon Hunters, Star Wars: The Rise of Skywalker, Wicked"
1/18/2026 8:37:40,EE,Writing reports and making presentations,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,15,11,"Avatar: Fire and Ash, Avengers: Endgame, Interstellar, My Neighbor Totoro","Barbie, Superman (2025)","Dune, Frozen, Get Out, Spider-Man: Across the Spiderverse",,Star Wars: The Rise of Skywalker,"KPop Demon Hunters, Titanic, Wicked"
1/18/2026 9:52:35,ME,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,2,"Avengers: Endgame, Get Out, Interstellar, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025)","Avatar: Fire and Ash, Barbie, Frozen","Titanic, Wicked",,,"Dune, KPop Demon Hunters, Star Wars: The Rise of Skywalker"
