index,error
453,0.02097
454,0.01597
455,0.01097
456,0.00597
457,0.017692
458,0.012692
459,0.024415
460,0.019415
461,0.014415
462,0.009415
463,0.004415
464,0.016137
465,0.011137
466,0.006137
467,0.01786
468,0.01286
469,0.00786
470,0.019582
471,0.014582
472,0.009582
473,0.021305
474,0.016304
475,0.011304
476,0.006305
477,0.001304
478,0.013027
479,0.008027
480,0.019749
481,0.014749
482,0.009749
483,0.021471
484,0.016472
485,0.011472
486,0.023194
487,0.018194
488,0.013194
489,0.008194
490,0.003194
491,0.014916
492,0.009917
493,0.004916
494,0.016639
495,0.011639
496,0.023361
497,0.018361
498,0.013361
499,0.008361
500,0.020083
501,0.015084
502,0.010083
503,0.005084
504,0.016806
505,0.011806
506,0.006806
507,0.018528
508,0.013528
509,0.025251
510,0.020251
511,0.015251
512,0.010251
513,0.021973
514,0.016973
515,0.011973
516,0.006973
517,0.018696
518,0.013696
519,0.008696
520,0.020418
521,0.015418
522,0.02714
523,0.022141
524,0.01714
525,0.01214
526,0.023863
527,0.018863
528,0.013863
529,0.008863
530,0.020585
531,0.015585
532,0.010585
533,0.005585
534,0.017308
535,0.012308
536,0.02403
537,0.01903
538,0.01403
539,0.00903
540,0.020753
541,0.015753
542,0.010753
543,0.005753
544,0.017475
545,0.012475
546,0.007475
547,0.019197
548,0.014198
549,0.02592
550,0.02092
551,0.01592
552,0.01092
553,0.022642
554,0.017642
555,0.012642
556,0.007642
557,0.019365
558,0.014364
559,0.009365
560,0.021087
561,0.016087
562,0.011087
563,0.02281
564,0.017809
565,0.01281
566,0.024532
567,0.019532
568,0.014532
569,0.009532
570,0.004532
571,0.016254
572,0.011254
573,0.006254
574,0.017977
575,0.012976
576,0.024699
577,0.019699
578,0.014699
579,0.026421
580,0.021421
581,0.016421
582,0.011421
583,0.006421
584,0.018144
585,0.013144
586,0.008144
587,0.019866
588,0.014866
589,0.009866
590,0.021589
591,0.016589
592,0.011589
593,0.023311
594,0.018311
595,0.013311
596,0.008311
597,0.020033
598,0.015033
599,0.010033
600,0.021756
601,0.016756
602,0.011756
603,0.023478
604,0.018478
605,0.013478
606,0.025201
607,0.020201
608,0.015201
609,0.010201
610,0.005201
611,0.016923
612,0.011923
613,0.023646
614,0.018646
615,0.013646
616,0.008646
617,0.020368
618,0.015368
619,0.027091
620,0.02209
621,0.017091
622,0.01209
623,0.007091
624,0.018813
625,0.013813
626,0.008813
627,0.020535
628,0.015535
629,0.010535
630,0.022258
631,0.017257
632,0.012258
633,0.02398
634,0.01898
635,0.01398
636,0.00898
637,0.00398
638,0.015702
639,0.010702
640,0.022425
641,0.017425
642,0.012425
643,0.024147
644,0.019147
645,0.014147
646,0.02587
647,0.020869
648,0.01587
649,0.01087
650,0.005869
651,0.017592
652,0.012592
653,0.024314
654,0.019314
655,0.014314
656,0.009314
657,0.021037
658,0.016037
659,0.027759
660,0.022759
661,0.017759
662,0.012759
663,0.007759
664,0.019482
665,0.014482
