angle_input_deg,angle_horizontal_deg,dangle_deg,h_m,dh_m,n,Rbar_meas_m,s_R_m,dRbar_meas_m,Rcalc_m,dRcalc_m,residual_m,residual_unc_m,z_score
10.0,80.0,0.5,1.035,0.005,3,2.01,0.0050000000000001155,0.0028867513459481958,0.7004077547892936,0.0347103055295861,1.3095922452107063,0.03483013986894898,37.599396675929114
15.0,75.0,0.5,1.04,0.005,3,2.0683333333333334,0.0076376261582597645,0.0044095855184410025,1.031683925101837,0.0337275617243226,1.0366494082314963,0.03401459781200471,30.476603426592145
20.0,70.0,0.5,1.05,0.005,3,2.19,0.013228756555322923,0.007637626158259716,1.341691158352348,0.03245313245487416,0.8483088416476519,0.033339753140461906,25.444364811991495
25.0,65.0,0.5,1.07,0.005,3,2.288333333333333,0.016072751268321504,0.009279607271383319,1.6262943992182732,0.030994778525987064,0.6620389341150599,0.03235409413020397,20.462292390285697
30.0,60.0,0.5,1.08,0.005,3,2.33,0.010000000000000009,0.005773502691896263,1.8748263824034577,0.02933884560061959,0.4551736175965424,0.02990152495292387,15.222421542485044
35.0,55.0,0.5,1.09,0.005,3,2.3433333333333333,0.011547005383792526,0.006666666666666673,2.0853174249205475,0.027652269304743023,0.25801590841278577,0.028444550306631282,9.070838021040343
